type,R2,R2_lower,R2_upper
logistic,0.8546441039844083,0.8268052851526495,0.8722609616984471
log_logistic,0.9386304876191643,0.9305908847227273,0.9427307427665781
gompertz,0.8478545398704393,0.8201437081391221,0.8655085146111231
reflected_gompertz,0.8700481342085032,0.8443646854967812,0.8868094069282196
weibull,0.9388142561096909,0.9309026373755571,0.942805439652876
reflected_weibull,0.9383070179583651,0.9303394230906912,0.9425212779407157
